title,body,date,source,sentiment_score,article_type,sectors,tickers,positive_market_impact
Данные по инфляции не понравились участникам рынка,"В преддверии заседания ЦБ индекс МосБиржи падает на 1,7%",2024-12-09,finam,0.0,finance,[],[],0.0
"""Яндекс"" запускает сервис для работы с интерактивными досками",Онлайн-платформа для совместной работы Miro прекратила обслуживание корпоративных аккаунтов из России и Беларуси с 12 сентября из-за санкций,2024-12-09,finam,-0.8,politics,"['Basic Materials', 'Industrials']",['no tickers'],0.0
В БРИКС появится антикоррупционный совет,С 1 января 2024 года в объединении председательствует Россия,2024-12-09,finam,0.5,finance,"['Financial Service', 'Energy', 'Consumer Defensive', 'Real Estate']","['SVCB', 'GAZP', 'ETLN', 'CIAN', 'GCHE']",1.0
FESCO запустила регулярный контейнерный поезд из Владивостока в Тольятти,"Основу грузопотока нового железнодорожного сервиса будут формировать товары народного потребления, автомобильные запчасти, металлургическая и химическая продукция, производственное оборудование",2024-12-09,finam,0.1,finance,"['Financial Service', 'Energy']","['SBER', 'GAZP', 'ROSN']",1.0
Эксперты ВШЭ озвучили сферы с наибольшей кадровой уязвимостью,"Заметное ухудшение ситуации наблюдается в сфере электроэнергетики и строительства
",2024-12-09,finam,-0.2,finance,['Financial Service'],[],0.0
Банк России выпускает в обращение памятную монету «Учитель»,Тираж монеты номиналом 10 рублей составляет 1 млн штук,2024-12-09,finam,-0.5,finance,"['Industrials', 'Basic Materials', 'Technology']",['no tickers'],0.0
Минэкономразвития разработало консервативный вариант макропрогноза вплоть до 2027 года,"В консервативном прогнозе ведомство допускает, что перегрев, которым сейчас характеризуется состояние экономики России, в 2025 году сменится на «переохлаждение»
",2024-12-09,finam,-0.3,finance,"['Financial Service', 'Energy', 'Consumer Defensive', 'Healthcare', 'Industrials']","['SVCB', 'MOEX', 'POLY', 'IRAO', 'YNDX']",0.0
"ФАС направила запросы производителям хлеба, муки и сливочного масла для мониторинга цен","Необоснованное повышение оптово-отпускных цен станет основанием для применения мер антимонопольного реагирования
",2024-12-09,finam,0.5,finance,"['Financial Service', 'Real Estate']",['IRAO.L'],1.0
«Детский мир» продлевает ограничение цен на ряд товаров до 1 марта,"Речь идет об отдельных позициях рюкзаков и ранцев, а также 32 позициях канцелярских товаров",2024-12-09,finam,1.0,finance,['Industrials'],['AFLT'],1.0
«Аэрофлот» впервые запускает прямые регулярные рейсы из Петербурга в Бангкок,Полеты стартуют с 31 октября 2024 года,2024-12-09,finam,0.0,finance,['Financial Service'],['TCSG'],0.0
"Рынок снижается, игнорируя рост нефти",На сырьевом рынке цены на нефть повышаются на фоне снижения запасов в США,2024-12-09,finam,0.5,finance,['Financial Service'],['SVCB'],1.0
Накануне заседания ЦБ на рынке может сохраниться нервозность,В начале торгов индексы могут немного снизиться,2024-12-09,finam,0.5,finance,"['Energy', 'Industrials']",['GAZP'],1.0
“Ашинский метзавод” определится с дивидендами - основные события 12 сентября,"ЕЦБ проведет заседание по ставке
",2024-12-09,finam,-0.2,finance,[],[],0.0
Такая важная инфляция – что теперь скажут ЦБ и ФРС,"Сегодня и в России, и в США вышли данные по инфляции. Рынки оценивают свежую статистику",2024-11-09,finam,0.5,finance,['Basic Materials'],['RUI1'],1.0
"Инфляция в России в августе замедлилась до 0,2%","Годовая инфляция в августе замедлилась до 9,05%",2024-11-09,finam,0.0,politics,['Real Estate'],"['IRAO', 'LSRG', 'PIKK', 'ETLN', 'TGKA']",0.0
МВФ может подготовить доклад об экономике России впервые с 2021 года,"“Экономическая ситуация в регионе более стабильная, чем раньше”, - сказали в фонде

",2024-11-09,finam,0.3,finance,['Consumer Cyclical'],['AVAZ'],1.0
"Путин предложил обсудить ограничения экспорта урана, титана и никеля","Президент подчеркнул, что ограничения не должны вредить российской экономике",2024-11-09,finam,0.1,finance,"['Energy', 'Industrials', 'Financial Service', 'Communication Services']","['AFLT', 'UPRO', 'MTLR', 'GTRK', 'TRMK']",1.0
Выручка от экспорта продовольствия из России превысит к 2030 году $55 млрд,В прошлом году объемы экспорта российских поставок за рубеж превысили импорт на четверть,2024-11-09,finam,-0.7,finance,['Energy'],[],0.0
"ЦБ повысил официальный курс доллара на 12 сентября до 91,2653 рубля","Курс евро увеличен до 100,7421 рубля с 100,4995 рубля в предыдущий день",2024-11-09,finam,0.0,finance,['Financial Service'],"['SBER', 'VTBR']",0.0
Акционеры МКПАО «Яндекс» утвердили дивиденды в размере 80 рублей на акцию,"Совокупная сумма выплат составит 29,223 млрд рублей",2024-11-09,finam,0.5,finance,['Financial Service'],['no tickers'],1.0
Минсельхоз по-прежнему ожидает урожай зерна в России в 2024 году в объеме 132 млн тонн,При этом в текущем году Россия может экспортировать 60 млн тонн зерна,2024-11-09,finam,0.0,finance,['Real Estate'],[],0.0
«Росбанк» становится филиалом «Т-Банка»,Завершение интеграции запланировано в 1 квартале 2025 года,2024-11-09,finam,0.0,politics,[],[],0.0
Нефть «пощекотала» нервы инвесторов в преддверии пятницы 13-го,Для локальных участников рынка сейчас более важным событием является предстоящее в пятницу 13-го заседание ЦБ РФ по ставке и  последующая пресс-конференция руководства регулятора ,2024-11-09,finam,0.0,politics,[],[],0.0
Bloomberg подсчитал доходы России от продажи нефти,Падение мировых цен на российскую нефть вплотную приблизило ее к $60 за баррель,2024-11-09,finam,0.5,finance,"['Financial Service', 'Energy', 'Basic Materials', 'Utilities']","['CIAN', 'TGKA', 'UPRO', 'TRMK', 'VTBR']",1.0
«Башспирт» будет использовать франшизу «Около» сети X5,«Х5 для бизнеса» предоставит партнеру инвестиции в размере до 150 млн рублей для обновления оборудования в магазинах «Тантана»,2024-11-09,finam,0.5,finance,['Industrials'],[],1.0
Доля льготной ипотеки в общем объеме выдач в августе составила почти 50%,Ипотечный рынок находится в активной стадии трансформации,2024-11-09,finam,0.2,finance,"['Financial Service', 'Consumer Cyclical', 'Communication Services', 'Energy', 'Industrials']","['VKCO', 'GAZP', 'SFKT', 'AFLT']",1.0
Группа «Аэрофлот» увеличила перевозки пассажиров за 8 месяцев на 19%,"Показатель составил 37,2 млн человек",2024-11-09,finam,0.1,finance,"['Basic Materials', 'Consumer Defensive', 'Utilities', 'Energy', 'Financial Service']","['PHOR', 'RUAL', 'GAZP', 'TGKA', 'SELG']",1.0
"Перевозки контейнеров по сети РЖД выросли на 8,6% в январе-августе","Всего в контейнерах перевезли 54,8 млн тонн различных товаров, что на 10,4% выше данных аналогичного периода прошлого года",2024-11-09,finam,0.2,finance,"['Financial Service', 'Energy', 'Basic Materials']",['no tickers'],1.0
НРД не удалось добиться через суд отмены санкций ЕС,"НРД «не смог доказать», что ЕС «ошибся, придя к выводу, что это учреждение является системно важным финансовым институтом",2024-11-09,finam,0.0,finance,['Financial Service'],[],0.0
X5 запустила доставку онлайн-заказов с помощью роботов,"Доставка происходит из магазинов «Пятерочка» при сотрудничестве с «Яндексом», при этом на стадии пилота сервис доступен для 35 тысяч домовладений",2024-11-09,finam,0.1,finance,"['Energy', 'Financial Service', 'Basic Materials', 'Consumer Cyclical', 'Communication Services']","['GAZP', 'SBER', 'LKOH', 'GMKN', 'VKCO']",1.0
Акции «СмартТехГрупп» подскочили почти на 20% на фоне оферты ПСБ,Рынок утром подрастает на фоне отскока цен на нефть,2024-11-09,finam,0.2,opinions,['Energy'],['SIBN'],1.0
Структура ГК Softline покупает контролирующую долю в Test IT,Компания расширяет присутствие в сегменте разработки и тестирования ПО,2024-11-09,finam,-0.2,finance,"['Consumer Defensive', 'Industrials', 'Real Estate']",['no tickers'],0.0
ПСБ объявил оферту на выкуп акций компании «СмартТехГрупп»,"ПСБ намерен довести долю владения в компании до 25%, в том числе благодаря реализации добровольной оферты. Одним из ключевых условий стратегического партнерства является ежегодная выплата дивидендов ПАО «СТГ»",2024-11-09,finam,0.5,finance,"['Financial Service', 'Industrials', 'Consumer Cyclical', 'Basic Materials']",[],1.0
Росфинмониторинг может получить доступ к данным об имуществе без уведомления граждан,Инициативу одобрила правительственная комиссия,2024-11-09,finam,1.0,finance,['Industrials'],['AFLT'],1.0
Часть бумаг российских инвесторов выведена из-под обязательного обособления,Указ подписал президент РФ,2024-11-09,finam,-0.3,finance,['Financial Service'],['no tickers'],0.0
У российского рынка мало шансов на рост,Перед открытием торгов складывается в целом неблагоприятный внешний фон,2024-11-09,finam,0.0,finance,['Energy'],"['LKOH', 'SIBN', 'GAZP', 'TATN']",0.0
Акционеры «ФосАгро» и «Диасофта» примут решение по дивидендам – основные события 11 сентября,"«Аэрофлот» опубликует операционные результаты за август 2024 года
",2024-11-09,finam,0.5,finance,"['Industrials', 'Basic Materials', 'Consumer Cyclical']","['RUAL', 'AKRN', 'PHOR', 'FESH', 'HYDR']",1.0
«Сбер» поднял максимальную ставку по вкладам до 20%,Ставка доступна по линейке вкладов «Лучший %»,2024-11-09,finam,0.2,finance,"['Energy', 'Basic Materials', 'Financial Service', 'Industrials', 'Technology']","['VKCO', 'OZON', 'SNGS', 'PLZL', 'MTSS']",1.0
Ozon запускает маркетплейс в Грузии,Теперь жители этой страны могут заказать на Ozon более 50 млн товаров самых разных категорий,2024-10-09,finam,0.3,finance,['Industrials'],['AVAZ'],1.0
Падение нефти затмило ожидания ставки,"Котировки ""черного золота"" обвалились на 4%",2024-10-09,finam,0.0,finance,['Financial Service'],[],0.0
Минфин США расширил антироссийские санкции,"В список были добавлены 9 кораблей, зарегистрированных под флагом России",2024-10-09,finam,0.2,finance,['Consumer Defensive'],['no tickers'],1.0
"ЦБ повысил официальный курс доллара на 11 сентября до 91,1127 рубля","Курс евро увеличен до 100,4995 рубля",2024-10-09,finam,0.5,finance,"['Technology', 'Healthcare', 'Consumer Cyclical']",['AFKS'],1.0
Британия расширила санкции против Ирана и России,"В санкционный список включены компании-производители БПЛА, а также пять морских судов",2024-10-09,finam,-0.3,finance,"['Financial Service', 'Energy', 'Communication Services', 'Industrials']","['AFLT', 'VSMO', 'MTSS', 'AFKS', 'HYDR']",0.0
"""НОВАТЭК"" опроверг информацию в СМИ о создании компанией теневого флота","Компания намерена защищать свои интересы в суде
",2024-10-09,finam,0.0,opinions,[],[],0.0
Дискуссия о необходимости наличных денег может назреть к 2030 году,Сейчас в России соотношение безналичных и наличных платежей составляет около 90% и 10% соответственно,2024-10-09,finam,0.0,finance,"['Industrials', 'Financial Service']",[],0.0
Российский рынок консолидируется,"Пока что важная отметка 2700 пунктов по индексу МосБиржи не устояла, однако активных продаж не наблюдается, поскольку инвесторы надеются, что заседание ЦБ РФ способно стать триггером роста",2024-10-09,finam,0.0,finance,"['Financial Service', 'Industrials', 'Communication Services']","['AFKS', 'AFLT', 'SFIN']",0.0
"Аналитики ""Сбербанка"" рассказали, чего ожидать от ЦБ",ЦБ РФ примет решение по ключевой ставке 13 сентября,2024-10-09,finam,0.1,finance,"['Financial Service', 'Energy']","['SBER', 'GAZP', 'ROSN']",1.0
Совокупная выручка Henderson за 8 месяцев выросла более чем на 29%,"Выручка онлайн продаж Henderson в августе 2024 года выросла на 68,7% к августу 2023 года
",2024-10-09,finam,-0.2,finance,"['Financial Service', 'Energy']","['IMOEX', 'RTSI']",0.0
"""Артген"" инвестирует в биотех-стартап ""Адена""","""Артген биотех"" предоставил конвертируемый займ в размере 20 млн рублей",2024-10-09,finam,0.7,opinions,['Healthcare'],['MDR'],1.0
Рынок старается расти в ожидании заседания ЦБ по ставке,"Аналитики между тем опасаются, что такая тактика участников торгов совсем скоро может обернуться серьезной коррекцией
",2024-10-09,finam,0.5,finance,['Healthcare'],['MDMG'],1.0
"Чистая прибыль ""Сбера"" по РСБУ за 8 месяцев 2024 года выросла на 5,4%","В августе ""Сбер"" заработал 142,7 млрд руб. чистой прибыли (+1,3% г/г)",2024-10-09,finam,-1.0,finance,"['Financial Service', 'Communication Services', 'Industrials', 'Energy']","['GAZP', 'VSY']",0.0
Российский рынок оживает после волны распродаж,"Акции ""Северстали"" сегодня торгуются без дивидендов, а от ""Яндекса"" ждут новостей с ВОСА",2024-10-09,finam,-0.5,finance,['Financial Service'],['no tickers'],0.0
Цена покупки “Совкомбанком” “Хоум-банка” вновь снижена,"В результате “Хоум-банк” обойдется “Совкомбанку” в 0,4-0,5 капитала по РСБУ, хотя изначально банк оценивался почти вдвое больше
",2024-10-09,finam,0.2,finance,['Financial Service'],['no tickers'],1.0
В 2025 году роста числа официальных выходных дней в России не будет,"В следующем году россияне будут отдыхать 31 декабря

",2024-10-09,finam,0.1,finance,['Financial Service'],['no tickers'],1.0
"ВТБ повысил ставки по вкладам до 20% годовых, не дожидаясь заседания ЦБ","ЦБ дал четкий сигнал, что ключевая ставка в ближайшее время точно не пойдет вниз
",2024-10-09,finam,-0.2,finance,['Financial Service'],['no tickers'],0.0
"Отчет ""Сбера"" по РСБУ - основные события 10 сентября","Акции «Северстали» первый день будут торговаться без квартальных дивидендов

",2024-10-09,finam,0.1,finance,"['Financial Service', 'Technology']",['MOEX'],1.0
Акционеры ТГК-14 одобрили дивиденды за 1 полугодие 2024 года,"Отсечка назначена на 17 сентября
",2024-10-09,finam,0.9,finance,['Consumer Cyclical'],['HNDZ'],1.0
«АЛРОСА» будет принимать решение по годовым дивидендам с учетом состояния рынка,Сейчас происходит высвобождение запасов в гранильном секторе,2024-09-09,finam,0.1,technical analysis,"['Financial Service', 'Energy', 'Basic Materials', 'Consumer Discretionary', 'Communication Services']","['VTBR', 'TCSG', 'SBER', 'ALRS', 'GAZP']",1.0
"«АЛРОСА» хватит запасов дольше, чем другим крупным компаниям отрасли",По ресурсной базе «АЛРОСА» - это половина от следующих трех крупнейших лидеров,2024-09-09,finam,-0.5,finance,"['Consumer Cyclical', 'Communication Services']",['SVZN'],0.0
Акционеры «Гемабанка» утвердили дивиденды за 1 полугодие в 5 рублей на акцию,Дата закрытия дивидендного реестра – 16 сентября,2024-09-09,finam,-0.5,opinions,"['Financial Service', 'Basic Materials']",['RUAL'],0.0
Инвестиции «ЭН+ Груп» в три новых энергоблока Иркутской области оцениваются в 150 млрд рублей,Общая мощность составит 690 МВт,2024-09-09,finam,1.0,finance,['Financial Service'],['no tickers'],1.0
X5 запускает проект по установке зарядок для электромобилей возле сети «Перекресток»,Первые зарядные станции PUNKT E для электромобилей в рамках пилотного проекта появились в Санкт-Петербурге,2024-09-09,finam,0.5,finance,['Real Estate'],['SMLT'],1.0
РЖД обсуждают возобновление пассажирского сообщения с Китаем,Также прорабатывается вопрос увеличения вывоза контейнеров с Дальнего Востока,2024-09-09,finam,-0.5,finance,['Financial Service'],[],0.0
Цены на пшеницу растут на фоне волатильности и мирового спроса,"Сезонное ценовое «дно» на спотовом рынке, возможно, уже достигнуто",2024-09-09,finam,0.5,finance,['Industrials'],['FESH'],1.0
Расписки «Русагро» падают на фоне неодобрения акционерами редомициляции в Россию,К 11:20 мск расписки компании дешевеют почти на 3%,2024-09-09,finam,0.7,finance,['Consumer Defensive'],['MGNT'],1.0
"ТГК-1 поставит ""зеленую"" электроэнергию для предприятий ""СИБУРа""","Гидроэлектростанции ТГК-1 будут поставлять электроэнергию из возобновляемых источников производственным предприятиям ""СИБУРа""",2024-09-09,finam,-0.1,finance,"['Financial Service', 'Basic Materials', 'Technology']","['SBER', 'POLY', 'AFLT']",0.0
"Банк России выпускает памятные монеты, посвященные 25-летию Союзного государства",В обращение запущена серебряная монета номиналом 3 рубля и из медно-никелевого сплава с цветным покрытием номиналом 25 рублей,2024-09-09,finam,-0.5,finance,"['Financial Service', 'Industrials', 'Energy']","['SIE', 'VOW', 'BAS']",0.0
Ряд банков Китая вводят территориальные ограничения для поставщиков российских импортеров,"Такие меры не позволяют китайцам открывать счета, если поставщик пытается сделать это за пределами провинции, в которой он ведет свою основную деятельность",2024-09-09,finam,0.25,finance,"['Financial Service', 'Energy', 'Technology', 'Consumer Cyclical', 'Consumer Defensive']","['HHRD', 'SNGS', 'HHRD', 'OZON', 'YNDX']",1.0
"Неделя началась с покупок, нефть дорожает",На валютной секции Московской биржи утром рубль показывает снижение к юаню,2024-09-09,finam,-0.5,finance,"['Energy', 'Basic Materials']",[],0.0
«Софтлайн» продал 9% акций крупному инвестору,«Софтлайн» объявил о вхождении нового институционального инвестора в структуру акционерного капитала компании,2024-09-09,finam,0.0,finance,"['Financial Service', 'Technology', 'Utilities', 'Real Estate']","['AS', 'S0']",0.0
До заседания Банка России тревожность на рынке сохранится,До решения ЦБ по ставке инвесторам следует проявлять особую осторожность,2024-09-09,finam,-0.5,politics,"['Utilities', 'Energy']",[],0.0
"""Яндекс"" определится с дивидендами - основные события 9 сентября","Тема дивидендов сегодня будет актуальна и для акционеров компании “Мать и дитя”
",2024-09-09,finam,0.5,finance,"['Financial Service', 'Energy']",['no tickers'],1.0
Российские металлурги просят возобновить антидемпинговое расследование против импорта из Китая и Украины,Китай значительно увеличил экспорт проката из-за кризиса в строительной отрасли,2024-09-09,finam,0.1,finance,"['Communication Services', 'Financial Service']",['MICEX'],1.0
Средняя экспортная цена российской нефти в 2024 году прогнозируется в $70,"$69,7 за баррель в 2025 году, $66 и $65,5 за баррель в 2026 и 2027 годах соответственно
",2024-06-09,finam,-0.5,finance,"['Basic Materials', 'Energy', 'Industrials']",[],0.0
Российский рынок в режиме ожидания,Российский рынок всю неделю штормило. Пятница завершилась нейтрально. Впереди заседание ЦБ,2024-06-09,finam,-0.7,finance,['Financial Service'],['no tickers'],0.0
"Минэкономразвития повысило прогноз роста ВВП России в 2025 году до 2,5% с 2,3%","Министерство экономического развития также повысило прогноз роста промышленного производства в России в 2024 году до 4% с 2,5%
",2024-06-09,finam,-0.5,finance,"['Financial Service', 'Energy']","['GAZP', 'SBER', 'MEOS', 'NVTK', 'TATN']",0.0
"Минэкономразвития повысило прогноз по инфляции в 2024 году до 7,3% с 5,1%","Причины - более быстрый, чем ожидалось, темп роста доходов населения
",2024-06-09,finam,0.0,finance,['Energy'],"['ROSN', 'GAZP', 'LKOH']",0.0
"ЦБ повысил курс доллара на 7 сентября до 89,8225 рубля","Курс евро составит 99,7156 рубля",2024-06-09,finam,-0.5,politics,"['Consumer Defensive', 'Basic Materials']",['no tickers'],0.0
Nasdaq проведет делистинг акций Qiwi 16 сентября,Между тем с сегодняшнего дня ADS Qiwi получили листинг на Астанинской международной бирже ,2024-06-09,finam,0.0,finance,['Financial Service'],"['ALRS', 'SBER', 'GAZP', 'VTBR', 'YNDX']",0.0
Минфин России начинает замещение суверенных евробондов,"К замещению принимаются все находящиеся в обращении выпуски еврооблигаций 
",2024-06-09,finam,-0.5,finance,"['Basic Materials', 'Financial Service']",['RUAL'],0.0
Мосбиржа назвала самые популярные акции августа,"Доля физлиц в объеме торгов акциями составила 77,8%",2024-06-09,finam,1.0,finance,"['Industrials', 'Basic Materials', 'Consumer Cyclical']",['RUAL'],1.0
Рынок забуксовал,"Желающих активно покупать акции перед выходными нет, поскольку кроме дешевизны активов существенных драйверов для покупки в моменте не появилось",2024-06-09,finam,0.0,finance,['Financial Service'],"['SBER', 'VTBR', 'GAZP', 'ALFA', 'SOVCC']",0.0
Мосбиржа 11 сентября добавит 12 новых бумаг в сервис внебиржевых сделок,"Общее количество акций без листинга, доступных для заключения сделок, достигнет 125
",2024-06-09,finam,0.2,finance,"['Financial Service', 'Energy']","['GAZP', 'SBER']",1.0
Акции «РУСАЛа» перешли к росту на новостях о buyback,"СМИ сообщили, что совету директоров «РУСАЛа» в ноябре представят предложение провести обратный выкуп",2024-06-09,finam,0.2,finance,"['Energy', 'Utilities']",['GAZP'],1.0
Денежно-кредитные условия в России ужесточились в августе,"Однако инфляционные ожидания населения и бизнеса несколько повысились, что действует в направлении мягкости ДКУ",2024-06-09,finam,1.0,finance,"['Consumer Defensive', 'Industrials']",['AFKS'],1.0
"Денежная база в России за неделю снизилась на 35,9 млрд рублей","Денежная база РФ в узком определении на 30 августа составила 18 296,2 млрд рублей",2024-06-09,finam,0.5,finance,"['Basic Materials', 'Industrials']",['RZHD'],1.0
"Доля крупных банков в аукционах ОФЗ упала в августе с 91,8% до 55,5%","Среднедневной объем торгов ОФЗ (без учета отдельных крупных сделок) на вторичном рынке в августе снизился до 13,01 млрд рублей против 14,6 млрд рублей в июле",2024-06-09,finam,0.5,finance,['Utilities'],['RTSI'],1.0
Физлица стали в августе крупнейшими продавцами акций в России,"Розничные инвесторы продали за этот период акции на общую сумму 17,9 млрд рублей",2024-06-09,finam,1.0,finance,['Industrials'],[],1.0
«Ренессанс страхование» закроет сделку с «Райффайзен Лайф» до конца года,Российский суд запретил передачу акций AO «Райффайзенбанк»,2024-06-09,finam,0.1,finance,"['Financial Service', 'Basic Materials', 'Energy']","['POLY', 'SBER', 'CHMF']",1.0
Крупнейшие экспортеры России снизили продажу валюты в августе на 1%,В то же время объем нетто-покупок иностранной валюты физлицами вырос в августе более чем в 2 раза ,2024-06-09,finam,0.5,finance,['Financial Service'],['SBER'],1.0
Число частных инвесторов на Мосбирже перевалило за 33 млн человек,"Сделки на Московской бирже в августе заключили более 3,8 млн частных инвесторов",2024-06-09,finam,0.0,finance,"['Energy', 'Financial Service', 'Basic Materials']","['POLY', 'SBER']",0.0
"Российский рынок начал пятницу в миноре, продают ""РУСАЛ""",На валютной секции Московской биржи утром рубль показывает снижение к юаню,2024-06-09,finam,0.0,finance,"['Financial Service', 'Basic Materials', 'Energy']","['SBER', 'RUAL', 'GAZP', 'KAZT']",0.0
Выручка группы «МГКЛ» за 8 месяцев выросла в 4 раза,"Показатель составил 4,2 млрд рублей",2024-06-09,finam,-0.5,finance,['Basic Materials'],['POLY'],0.0
Двухдневный отскок и пятница сделают инвесторов осторожнее,Продолжится ли «бычья» динамика в пятницу – большой вопрос,2024-06-09,finam,-0.1,finance,"['Financial Service', 'Energy']","['RTSI', 'SBER']",0.0
Банк России предложил меры для стимулирования IPO и SPO компаний,Среди предложений - налоговые льготы и приоритетный доступ к программам господдержки,2024-06-09,finam,0.2,finance,['Basic Materials'],['PHOR'],1.0
"Дефицит бюджета России за 8 месяцев составил 331,4 млрд рублей",Минфин опубликовал предварительную оценку исполнения федерального бюджета в январе-августе 2024 года,2024-06-09,finam,0.1,finance,"['Energy', 'Basic Materials', 'Financial Service']","['GAZP', 'GMKN', 'ALRS', 'LKOH', 'SBER']",1.0
Средства российских компаний на индийских спецсчетах сократились вдвое,"Значительная часть средств была использована для покупки индийских ценных бумаг и оборудования
",2024-06-09,finam,-0.5,finance,"['Financial Service', 'Consumer Defensive']",['no tickers'],0.0
"США ввели санкции против связанных с ""Арктик СПГ-2"" индийских судоходных компаний","Проект ""НОВАТЭКа"" находится под санкциями США с ноября 2023 года
",2024-06-09,finam,0.5,finance,['Industrials'],['AFLT'],1.0
"""РусАгро"" проведет повторное ВОСА по вопросу редомициляции - основные события 6 сентября","Акционеры ТГК-14 примут решение по дивидендам 
",2024-06-09,finam,0.0,politics,['Financial Service'],['no tickers'],0.0
"""РУСАЛ"" оставит акционеров без промежуточных дивидендов",Соответствующую рекомендацию дало правление компании,2024-06-09,finam,0.0,finance,['Financial Service'],['no tickers'],0.0
"Рынок карабкается наверх, пытаясь развить отскок",Ситуация выглядит пока как лишь технический отскок на нисходящем тренде,2024-05-09,finam,0.0,finance,['Financial Service'],[],0.0
«КИФА» рассказала об особенностях российско-китайской торговли,Компания проводит российско-китайский форум в Шэньяне,2024-05-09,finam,0.0,politics,[],[],0.0
"ЦБ повысил курс доллара на 6 сентября до 89,7044 рубля","Курс евро составит 99,1927 рубля",2024-05-09,finam,-0.2,finance,['Communication Services'],['RTKM'],0.0
Международные резервы России снизились за неделю на $1 млрд,"По состоянию на 30 августа показатель составил $613,5 млрд",2024-05-09,finam,0.7,finance,"['Financial Service', 'Energy', 'Consumer Cyclical', 'Communication Services', 'Industrials']","['OZON', 'GTRN', 'IRAO', 'ALRS', 'MOEX']",1.0
ОПЕК+ может скорректировать сделку по нефти в октябре при необходимости,"Ряд стран ОПЕК+, включая Россию и Саудовскую Аравию, договорились о добровольном сокращении добычи нефти до конца 2025 года",2024-05-09,finam,0.0,politics,[],[],0.0
В России собрано более 93 млн тонн зерновых,Минсельхоз сохраняет прогноз по сбору зерновых на уровне 132 млн тонн,2024-05-09,finam,0.5,finance,"['Consumer Defensive', 'Real Estate']",['MGNT'],1.0
Рынок акций цепляется за позитивные новости,Последние данные по инфляции и новости с ВЭФ поддерживают «быков»,2024-05-09,finam,0.0,others,[],[],0.0
Предприниматели Курской области получат отсрочку по уплате налогов,"Отсрочка будет предоставлена на 12 месяцев с последующей рассрочкой уплаты платежей
",2024-05-09,finam,0.0,politics,[],[],0.0
"Норильский и Кольский дивизионы ГМК ""Норникель"" будут объединены в Заполярный дивизион","Цель изменений — рост операционной эффективности
",2024-05-09,finam,1.0,finance,['Industrials'],['KMAZ'],1.0
ГК «Дело» нацелена на развитие ж/д перевозок в Якутию,По итогам 7 месяцев 2024 года доля доходной погрузки контейнерного оператора ГК «Дело» составила более 50% от общего объема перевозок по сети железных дорог Якутии,2024-05-09,finam,-0.5,finance,['Consumer Defensive'],['no tickers'],0.0
FESCO и ГАП «Ресурс» будут развивать перевозки агропродукции в страны Азии,"Cтороны намерены работать над диверсификацией товарных номенклатур и логистических маршрутов для расширения экспортных поставок продукции ГАП «Ресурс», в том числе в Китай, страны Юго-Восточной Азии, Индию и ОАЭ",2024-05-09,finam,0.0,finance,['Financial Service'],['no tickers'],0.0
«КИФА» эффективно выстраивает диалог с китайским бизнесом,Потенциал роста российско-китайской торговли огромен и в перспективе ближайших лет может вырасти до $400 млрд,2024-05-09,finam,-0.5,finance,['Energy'],['no tickers'],0.0
Участок ВСМ Москва-Петербург до Твери планируется достроить в 2026-2027 годах,На этом участке будут проводиться испытания поездов для ВСМ,2024-05-09,finam,0.1,finance,"['Industrials', 'Real Estate']","['VSMO', 'AMEZ', 'TRMK', 'PIKK', 'DSKY', 'NVTK']",1.0
«Сбер» выступает за поддержку производителей угля и удобрений ввиду роста НДПИ,"Между тем какого-либо глобального влияния от уточнения налоговой нагрузки на бизнес в целом банк не видит, и отдельные компании с этим справятся",2024-05-09,finam,0.8,finance,['Industrials'],['TRCN'],1.0
«Аэрофлот» намерен передать ранее законтрактованные SSJ-100 в сублизинг,"Кроме того, «Аэрофлот» предлагает распространить механизм «мокрого» лизинга на внешние рынки",2024-05-09,finam,0.5,finance,"['Financial Service', 'Energy', 'Basic Materials', 'Technology', 'Consumer Defensive']","['GAZP', 'GMKN', 'LKOH', 'RTKM']",1.0
Группа «Аэрофлот» повысила прогнозы по перевозкам пассажиров в 2024 году до 55 млн,"С начала года этот показатель уже вырос на 21,4-22%",2024-05-09,finam,0.0,finance,['Financial Service'],[],0.0
Суд удовлетворил иск Минсельхоза к кипрскому акционеру холдинга «Русагро»,По решению суда приостановлены права кипрского холдинга в ПАО «Группа «Русагро»,2024-05-09,finam,0.0,finance,"['Financial Service', 'Basic Materials', 'Industrials']","['POLY', 'NKHP', 'RUAL', 'KMAZ']",0.0
"Мосбиржа провела дискретный аукцион по выросшим более чем на 20% акциям ""Сегежи""","Произошло повышение на 20% и более в течение 10 минут подряд текущей цены акций от цены закрытия предыдущего торгового дня 
",2024-05-09,finam,0.2,finance,"['Financial Service', 'Energy']",['no tickers'],1.0
Доля живущих за чертой бедности россиян во 2 квартале уменьшилась,"Сама граница бедности в этот период составила 15 354 рубля
",2024-05-09,finam,0.2,finance,"['Financial Service', 'Real Estate']",['no tickers'],1.0
«Делимобиль» запускает работу в Перми,Пермь стала 13-м городом присутствия для компании,2024-05-09,finam,-0.5,finance,"['Industrials', 'Financial Service']",['AFLT'],0.0
У “Ростелекома” не меняются сроки вывода на биржу дочерней компании,"Это состоится осенью

",2024-05-09,finam,0.0,finance,"['Energy', 'Basic Materials', 'Financial Service']","['GAZP', 'GMKN', 'VTBR', 'SBER']",0.0
